Aries Taurus Gemini Cancer Leo Virgo Libra Scorpio Sagittarius Capricorn Aquarius Pisces
50% 50% 85% 65% 95% 55% 55% 75% 100% 40% 90% 65%
50% 100% 40% 85% 70% 90% 65% 75% 40% 100% 40% 85%
85% 40% 60% 45% 90% 60% 95% 50% 75% 60% 100% 45%
65% 85% 45% 80% 85% 75% 65% 90% 45% 60% 40% 100%
95% 70% 90% 85% 50% 50% 100% 40% 90% 50% 55% 60%
55% 90% 60% 75% 50% 95% 40% 70% 40% 100% 55% 65%
55% 65% 95% 65% 100% 40% 80% 50% 95% 55% 90% 50%
75% 75% 50% 90% 40% 70% 50% 70% 40% 95% 45% 100%
100% 40% 75% 45% 90% 40% 95% 40% 85% 60% 95% 40%
40% 100% 60% 60% 50% 100% 55% 95% 60% 75% 60% 100%
90% 40% 100% 40% 55% 55% 90% 45% 95% 60% 80% 50%
65% 85% 45% 100% 60% 65% 50% 100% 40% 100% 50% 75%
